Borough,Block,Lot,FromMonth,ToMonth,FromDay,ToDay,FromYear,ToYear,DocType
1,15,0000,1,12,1,31,2011,2012,
1,16,0000,1,12,1,31,2009,2010,
1,16,0000,1,12,1,31,2010,2011,
1,16,0000,1,12,1,31,2011,2012,
1,17,0000,1,12,1,31,2009,2010,
1,17,0000,1,12,1,31,2010,2011,
1,17,0000,1,12,1,31,2011,2012,
1,18,0000,1,12,1,31,2009,2010,
1,18,0000,1,12,1,31,2010,2011,
1,18,0000,1,12,1,31,2011,2012,
1,19,0000,1,12,1,31,2009,2010,
1,19,0000,1,12,1,31,2010,2011,
1,19,0000,1,12,1,31,2011,2012,
1,20,0000,1,12,1,31,2009,2010,
1,20,0000,1,12,1,31,2010,2011,
1,20,0000,1,12,1,31,2011,2012,
1,21,0000,1,12,1,31,2009,2010,
1,21,0000,1,12,1,31,2010,2011,
1,21,0000,1,12,1,31,2011,2012,
1,22,0000,1,12,1,31,2009,2010,
1,22,0000,1,12,1,31,2010,2011,
1,22,0000,1,12,1,31,2011,2012,
1,23,0000,1,12,1,31,2009,2010,
1,23,0000,1,12,1,31,2010,2011,
1,23,0000,1,12,1,31,2011,2012,
1,24,0000,1,12,1,31,2009,2010,
1,24,0000,1,12,1,31,2010,2011,
1,24,0000,1,12,1,31,2011,2012,
1,25,0000,1,12,1,31,2009,2010,
1,25,0000,1,12,1,31,2010,2011,
1,25,0000,1,12,1,31,2011,2012,
1,26,0000,1,12,1,31,2009,2010,
1,26,0000,1,12,1,31,2010,2011,
1,26,0000,1,12,1,31,2011,2012,
1,27,0000,1,12,1,31,2009,2010,
1,27,0000,1,12,1,31,2010,2011,
1,27,0000,1,12,1,31,2011,2012,
1,28,0000,1,12,1,31,2009,2010,
1,28,0000,1,12,1,31,2010,2011,
1,28,0000,1,12,1,31,2011,2012,
1,29,0000,1,12,1,31,2009,2010,
1,29,0000,1,12,1,31,2010,2011,
1,29,0000,1,12,1,31,2011,2012,
1,30,0000,1,12,1,31,2009,2010,
1,30,0000,1,12,1,31,2010,2011,
1,30,0000,1,12,1,31,2011,2012,
1,31,0000,1,12,1,31,2009,2010,
1,31,0000,1,12,1,31,2010,2011,
1,31,0000,1,12,1,31,2011,2012,
1,32,0000,1,12,1,31,2009,2010,
1,32,0000,1,12,1,31,2010,2011,
1,32,0000,1,12,1,31,2011,2012,
1,33,0000,1,12,1,31,2009,2010,
1,33,0000,1,12,1,31,2010,2011,
1,33,0000,1,12,1,31,2011,2012,
1,34,0000,1,12,1,31,2009,2010,
1,34,0000,1,12,1,31,2010,2011,
1,34,0000,1,12,1,31,2011,2012,
1,35,0000,1,12,1,31,2009,2010,
1,35,0000,1,12,1,31,2010,2011,
